Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,user_review
Rayman Legends,PlayStation Vita,2014.0,Platform,Ubisoft,0.03,0.12,0.0,0.05,0.21,8.4
Dragon Ball Z: Harukanaru Densetsu,DS,2007.0,Role-Playing,Namco Bandai Games,0.19,0.0,0.0,0.02,0.21,6.5
Evil Dead: Regeneration,PlayStation 2,2005.0,Action,THQ,0.1,0.08,0.0,0.03,0.21,8.7
Dead to Rights: Retribution,Xbox 360,2010.0,Shooter,Namco Bandai Games,0.11,0.08,0.0,0.02,0.21,7.0
NCAA March Madness 07,Xbox 360,2007.0,Sports,Electronic Arts,0.19,0.0,0.0,0.02,0.21,7.1
NHL 2003,Xbox,2002.0,Sports,Electronic Arts,0.15,0.04,0.0,0.01,0.21,7.4
Tiger Woods PGA Tour,PSP,2005.0,Sports,Electronic Arts,0.19,0.0,0.0,0.02,0.21,7.4
NHL 2K3,PlayStation 2,2002.0,Sports,Sega,0.1,0.08,0.0,0.03,0.21,7.8
Final Fight One,Game Boy Advance,2001.0,Fighting,Ubisoft,0.09,0.03,0.08,0.0,0.21,8.0
Gallop Racer 2003: A New Breed,PlayStation 2,2002.0,Sports,Zoo Digital Publishing,0.04,0.03,0.12,0.01,0.21,8.5
Dawn of Discovery,Wii,2009.0,Simulation,Ubisoft,0.13,0.06,0.0,0.02,0.21,8.1
Outlaw Golf 2,Xbox,2004.0,Sports,Global Star,0.15,0.04,0.0,0.01,0.21,tbd
Anarchy Reigns,PlayStation 3,2012.0,Action,Sega,0.1,0.03,0.06,0.02,0.21,8.1
Defiance,PC,2013.0,Shooter,Trion Worlds,0.14,0.04,0.0,0.02,0.21,6.6
Kung Fu Rider,PlayStation 3,2010.0,Action,Sony Computer Entertainment,0.06,0.1,0.01,0.04,0.21,4.6
X2: Wolverine's Revenge,Xbox,2003.0,Platform,Activision,0.15,0.04,0.0,0.01,0.21,6.2
Thrillville,PSP,2006.0,Strategy,Atari,0.18,0.0,0.0,0.02,0.2,2.9
Enchanted Arms,PlayStation 3,2007.0,Role-Playing,Ubisoft,0.17,0.01,0.0,0.02,0.2,6.6
WWE All Stars,Wii,2011.0,Fighting,THQ,0.11,0.07,0.0,0.02,0.2,7.2
You Don't Know Jack,Xbox 360,2011.0,Misc,THQ,0.19,0.0,0.0,0.01,0.2,7.9
Chronicles of Mystery: Curse of the Ancient Temple,DS,2009.0,Adventure,City Interactive,0.07,0.11,0.0,0.02,0.2,tbd
NASCAR Heat 2002,Xbox,2001.0,Racing,Infogrames,0.15,0.04,0.0,0.01,0.2,tbd
DarkStar One: Broken Alliance,Xbox 360,2010.0,Simulation,Kalypso Media,0.11,0.08,0.0,0.02,0.2,6.7
Two Worlds II,PC,2011.0,Role-Playing,Unknown,0.09,0.09,0.0,0.03,0.2,6.4
Suikoden Tactics,PlayStation 2,2005.0,Strategy,Konami Digital Entertainment,0.06,0.05,0.07,0.02,0.2,8.5
NCAA March Madness 06,Xbox,2005.0,Sports,Electronic Arts,0.15,0.04,0.0,0.01,0.2,7.2
Major League Baseball 2K11,PlayStation 3,2011.0,Sports,Take-Two Interactive,0.15,0.03,0.0,0.02,0.2,6.3
Mobile Suit Gundam: Crossfire,PlayStation 3,2006.0,Simulation,Namco Bandai Games,0.06,0.0,0.14,0.01,0.2,4.9
Phantasy Star Online,Dreamcast,2000.0,Role-Playing,Sega,0.0,0.0,0.2,0.0,0.2,8.4
Crazy Taxi 3: High Roller,Xbox,2002.0,Racing,Sega,0.14,0.04,0.02,0.01,0.2,8.0
Midnight Club 3: DUB Edition Remix,Xbox,2006.0,Racing,Take-Two Interactive,0.15,0.04,0.0,0.01,0.2,5.7
"Warhammer 40,000: Space Marine",PC,2011.0,Shooter,THQ,0.09,0.09,0.0,0.03,0.2,7.5
Fairy Fencer F,PlayStation 3,2013.0,Role-Playing,Nippon Ichi Software,0.05,0.05,0.09,0.02,0.2,7.3
Atelier Shallie: Alchemists of the Dusk Sea,PlayStation 3,2014.0,Role-Playing,Tecmo Koei,0.06,0.05,0.08,0.02,0.2,7.7
The King of Fighters Collection: The Orochi Saga,PlayStation 2,2006.0,Fighting,Ignition Entertainment,0.1,0.08,0.0,0.03,0.2,7.9
Arcana Heart 3,PlayStation 3,2011.0,Fighting,PQube,0.04,0.05,0.1,0.02,0.2,6.8
MLB 10: The Show,PSP,2010.0,Sports,Sony Computer Entertainment,0.19,0.0,0.0,0.02,0.2,6.8
Dragon Ball: Revenge of King Piccolo,Wii,2009.0,Action,Namco Bandai Games,0.13,0.03,0.03,0.02,0.2,7.6
Spectrobes: Origins,Wii,2009.0,Role-Playing,Disney Interactive Studios,0.16,0.02,0.0,0.02,0.2,8.6
Earth Defense Force: Insect Armageddon,PlayStation 3,2011.0,Shooter,D3Publisher,0.06,0.04,0.08,0.02,0.2,7.4
Pitfall: The Lost Expedition,PlayStation 2,2004.0,Platform,Activision,0.1,0.08,0.0,0.03,0.2,8.6
Marvel: Ultimate Alliance 2,DS,2009.0,Role-Playing,Activision,0.16,0.03,0.0,0.02,0.2,7.0
Assassin's Creed Syndicate,PC,2015.0,Action,Ubisoft,0.1,0.08,0.0,0.02,0.2,6.4
Le Mans 24 Hours,PlayStation 2,2001.0,Racing,Infogrames,0.09,0.07,0.02,0.02,0.2,7.5
XCOM 2,PC,2016.0,Strategy,Take-Two Interactive,0.09,0.1,0.0,0.02,0.2,7.3
Way of the Samurai 4,PlayStation 3,2011.0,Action,Nippon Ichi Software,0.0,0.03,0.16,0.01,0.2,7.1
Clive Barker's Jericho,PlayStation 3,2007.0,Shooter,Codemasters,0.17,0.01,0.0,0.02,0.2,7.3
Harvest Moon: More Friends of Mineral Town,Game Boy Advance,2003.0,Simulation,Ubisoft,0.14,0.05,0.0,0.0,0.2,8.5
Captain America: Super Soldier,PlayStation 3,2011.0,Action,Sega,0.1,0.07,0.0,0.03,0.2,7.5
MLB 12: The Show,PlayStation Vita,2012.0,Sports,Sony Computer Entertainment,0.18,0.0,0.0,0.02,0.2,7.7
NHL 17,PlayStation 4,2016.0,Sports,Electronic Arts,0.13,0.04,0.0,0.04,0.2,5.7
NBA 2K2,Xbox,2002.0,Sports,Sega,0.15,0.04,0.0,0.01,0.2,7.6
X2: Wolverine's Revenge,Game Boy Advance,2003.0,Platform,Activision,0.14,0.05,0.0,0.0,0.2,7.0
Cars,Xbox,2006.0,Racing,THQ,0.15,0.04,0.0,0.01,0.2,8.0
Spy Hunter,GameCube,2002.0,Racing,Midway Games,0.16,0.04,0.0,0.01,0.2,8.0
Warriors Orochi,PSP,2008.0,Action,Tecmo Koei,0.02,0.0,0.18,0.0,0.2,6.5
Super Dodge Ball Advance,Game Boy Advance,2001.0,Sports,Ubisoft,0.14,0.05,0.0,0.0,0.2,7.8
Ridge Racer 6,Xbox 360,2005.0,Racing,Namco Bandai Games,0.1,0.02,0.07,0.01,0.2,7.3
Treasure World,DS,2009.0,Simulation,Aspyr,0.19,0.0,0.0,0.01,0.2,tbd
Front Mission Evolved,Xbox 360,2010.0,Shooter,Square Enix,0.1,0.07,0.02,0.02,0.2,6.3
Body and Brain Connection,Xbox 360,2010.0,Misc,Namco Bandai Games,0.1,0.08,0.0,0.02,0.2,4.8
Afro Samurai,PlayStation 3,2009.0,Action,Atari,0.12,0.05,0.0,0.03,0.2,6.3
Zone of the Enders HD Collection,Xbox 360,2012.0,Simulation,Konami Digital Entertainment,0.14,0.04,0.01,0.02,0.2,7.9
Ty the Tasmanian Tiger 2: Bush Rescue,GameCube,2004.0,Platform,Electronic Arts,0.15,0.04,0.0,0.01,0.2,8.7
MVP Baseball 2003,Xbox,2003.0,Sports,Electronic Arts,0.15,0.04,0.0,0.01,0.2,7.7
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",Xbox,2005.0,Action,Disney Interactive Studios,0.15,0.04,0.0,0.01,0.2,6.4
Body Harvest,Nintendo 64,1998.0,Shooter,Gremlin Interactive Ltd,0.16,0.04,0.0,0.0,0.2,7.9
NBA 07,PSP,2006.0,Sports,Sony Computer Entertainment,0.18,0.0,0.0,0.02,0.2,7.0
Code of Princess,3DS,2012.0,Action,Agatsuma Entertainment,0.16,0.0,0.03,0.01,0.2,7.4
Tomb Raider: Underworld,DS,2008.0,Action,Eidos Interactive,0.16,0.03,0.0,0.02,0.2,7.8
The Con,PSP,2005.0,Fighting,Sony Computer Entertainment,0.18,0.0,0.0,0.02,0.2,7.2
Tony Hawk's Pro Skater 5,PlayStation 4,2015.0,Sports,Activision,0.09,0.08,0.0,0.03,0.2,1.5
UFC Personal Trainer: The Ultimate Fitness System,PlayStation 3,2011.0,Sports,THQ,0.08,0.09,0.0,0.04,0.2,2.4
Total War: Shogun 2 - Fall of the Samurai,PC,2012.0,Strategy,Sega,0.07,0.1,0.0,0.03,0.2,8.5
Mat Hoffman's Pro BMX 2,Xbox,2002.0,Sports,Activision,0.15,0.04,0.0,0.01,0.2,tbd
Untold Legends: Dark Kingdom,PlayStation 3,2006.0,Role-Playing,Electronic Arts,0.14,0.02,0.02,0.02,0.2,7.0
From Russia With Love,Xbox,2005.0,Action,Electronic Arts,0.15,0.04,0.0,0.01,0.2,7.9
Dead Space 3,PC,,Action,Electronic Arts,0.02,0.15,0.0,0.02,0.2,6.1
Grandia II,Dreamcast,2000.0,Role-Playing,Ubisoft,0.0,0.0,0.2,0.0,0.2,8.7
Shark Tale,Xbox,2004.0,Action,Activision,0.15,0.04,0.0,0.01,0.2,tbd
NFL Street 2,GameCube,2004.0,Sports,Electronic Arts,0.15,0.04,0.0,0.01,0.2,7.6
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,PlayStation 2,2005.0,Action,Konami Digital Entertainment,0.1,0.08,0.0,0.03,0.2,tbd
Bleach: The 3rd Phantom,DS,2008.0,Role-Playing,Sega,0.1,0.02,0.07,0.01,0.2,7.5
Gladius,PlayStation 2,2003.0,Strategy,Activision,0.1,0.08,0.0,0.03,0.2,7.9
Dave Mirra Freestyle BMX 2,Xbox,2001.0,Sports,Acclaim Entertainment,0.15,0.04,0.0,0.01,0.2,7.0
Record of Agarest War,Xbox 360,2008.0,Role-Playing,Compile Heart,0.18,0.0,0.01,0.01,0.2,6.2
Baja: Edge of Control,Xbox 360,2008.0,Racing,THQ,0.12,0.06,0.0,0.02,0.2,6.9
Sid Meier's Pirates!,PSP,2007.0,Strategy,Take-Two Interactive,0.16,0.01,0.0,0.02,0.2,7.9
Taiko Drum Master,PlayStation 2,2004.0,Misc,Namco Bandai Games,0.1,0.08,0.0,0.03,0.2,8.1
Harry Potter and the Goblet of Fire,PSP,2005.0,Action,Electronic Arts,0.17,0.01,0.0,0.02,0.2,6.9
South Park: The Stick of Truth,PC,2014.0,Role-Playing,Ubisoft,0.07,0.1,0.0,0.02,0.2,8.6
Tetris Worlds (Online Edition),Xbox,2003.0,Puzzle,THQ,0.15,0.04,0.0,0.01,0.2,tbd
Armored Core 4,PlayStation 3,2006.0,Simulation,505 Games,0.09,0.0,0.09,0.01,0.2,6.9
Forgotten Realms: Demon Stone,PlayStation 2,2004.0,Action,Atari,0.1,0.08,0.0,0.03,0.2,7.1
Resident Evil: Revelations,Wii U,2013.0,Action,Capcom,0.07,0.08,0.03,0.01,0.2,7.8
Looney Tunes: Space Race,PlayStation 2,2002.0,Racing,Infogrames,0.1,0.08,0.0,0.03,0.2,6.6
Playboy: The Mansion,PlayStation 2,2005.0,Simulation,Ubisoft,0.1,0.08,0.0,0.03,0.2,7.7
Shiren the Wanderer,Wii,2008.0,Role-Playing,Sega,0.08,0.0,0.11,0.01,0.2,8.0
Tiger Woods PGA Tour 06,PSP,2005.0,Sports,Electronic Arts,0.18,0.0,0.0,0.01,0.2,7.9
Conan,Xbox 360,2007.0,Action,THQ,0.16,0.02,0.0,0.02,0.2,7.4
The Thing,Xbox,2002.0,Adventure,Vivendi Games,0.15,0.04,0.0,0.01,0.2,6.3
Baldur's Gate: Dark Alliance,Xbox,2002.0,Role-Playing,Virgin Interactive,0.15,0.04,0.0,0.01,0.2,8.5
Prince of Persia: Warrior Within,GameCube,2004.0,Action,Ubisoft,0.15,0.04,0.0,0.01,0.2,8.0
Test Drive Unlimited 2,PC,,Racing,Atari,0.05,0.11,0.0,0.03,0.2,5.8
Mega Man Legacy Collection,3DS,2016.0,Platform,Capcom,0.13,0.0,0.05,0.02,0.2,8.5
Predator: Concrete Jungle,PlayStation 2,2005.0,Action,Vivendi Games,0.1,0.07,0.0,0.03,0.2,8.7
Predator: Concrete Jungle,PlayStation 2,2005.0,Action,Vivendi Games,0.1,0.07,0.0,0.03,0.2,7.7
Demon Gaze,PlayStation Vita,2013.0,Role-Playing,Nippon Ichi Software,0.06,0.03,0.08,0.02,0.2,8.6
Zombie Army Trilogy,PlayStation 4,2015.0,Shooter,Rebellion Developments,0.04,0.12,0.0,0.03,0.2,7.1
Mana Khemia 2: Fall of Alchemy,PlayStation 2,2008.0,Role-Playing,Gust,0.07,0.05,0.05,0.02,0.2,8.2
Nostalgia,DS,2008.0,Role-Playing,Tecmo Koei,0.16,0.0,0.02,0.01,0.19,7.6
DiRT Showdown,PlayStation 3,2012.0,Racing,Codemasters,0.02,0.13,0.0,0.04,0.19,6.6
Big Mutha Truckers,Xbox,2002.0,Racing,Empire Interactive,0.15,0.04,0.0,0.01,0.19,4.3
The King of Fighters XI,PlayStation 2,2006.0,Fighting,Ignition Entertainment,0.07,0.06,0.04,0.02,0.19,8.5
Metro: Last Light,PC,2013.0,Action,Deep Silver,0.06,0.11,0.0,0.02,0.19,8.5
Silent Hill HD Collection,Xbox 360,2012.0,Action,Konami Digital Entertainment,0.11,0.06,0.01,0.02,0.19,5.7
Conflict: Denied Ops,Xbox 360,2008.0,Shooter,Eidos Interactive,0.08,0.09,0.0,0.02,0.19,4.5
Ice Age: Dawn of the Dinosaurs,PlayStation 3,2009.0,Action,Activision,0.13,0.04,0.0,0.02,0.19,7.3
Sniper Elite,PlayStation 2,2005.0,Shooter,Ubisoft,0.1,0.07,0.0,0.02,0.19,8.4
Arc Rise Fantasia,Wii,2009.0,Role-Playing,Marvelous Interactive,0.13,0.0,0.06,0.01,0.19,8.1
Breath of Fire II,Game Boy Advance,2001.0,Role-Playing,Ubisoft,0.14,0.05,0.0,0.0,0.19,8.3
The Spiderwick Chronicles,Wii,2008.0,Action,Vivendi Games,0.17,0.01,0.0,0.01,0.19,tbd
Ice Age 2: The Meltdown,GameCube,2006.0,Platform,Vivendi Games,0.15,0.04,0.0,0.01,0.19,8.0
Enchanted Arms,Xbox 360,2006.0,Role-Playing,Ubisoft,0.16,0.02,0.0,0.02,0.19,6.9
Dinotopia: The Timestone Pirates,Game Boy Advance,2002.0,Action,TDK Core,0.14,0.05,0.0,0.0,0.19,8.4
The Sims 4: Get Together,PC,2015.0,Simulation,Electronic Arts,0.05,0.13,0.0,0.01,0.19,7.1
Pac-Man & Galaga Dimensions,3DS,2011.0,Misc,Namco Bandai Games,0.1,0.04,0.04,0.01,0.19,7.1
Manhunt,Xbox,2004.0,Action,Take-Two Interactive,0.14,0.04,0.0,0.01,0.19,7.9
Disgaea DS,DS,2008.0,Role-Playing,Square Enix,0.11,0.02,0.05,0.01,0.19,7.9
Space Invaders Extreme 2,DS,2009.0,Shooter,Square Enix,0.17,0.01,0.0,0.01,0.19,7.4
Risen,Xbox 360,2009.0,Role-Playing,Deep Silver,0.07,0.11,0.0,0.01,0.19,6.5
Final Fantasy XI,Xbox 360,2006.0,Role-Playing,Square Enix,0.17,0.01,0.0,0.01,0.19,6.5
Breath of Fire: Dragon Quarter,PlayStation 2,2002.0,Role-Playing,Capcom,0.09,0.07,0.0,0.02,0.19,6.6
Dante's Inferno,PSP,2010.0,Action,Electronic Arts,0.12,0.03,0.01,0.03,0.19,8.1
Conception II: Children of the Seven Stars,PlayStation Vita,2013.0,Role-Playing,Screenlife,0.13,0.0,0.04,0.02,0.19,7.2
Supreme Commander 2,PC,2010.0,Strategy,Square Enix,0.0,0.15,0.0,0.04,0.19,6.2
DanceMasters,Xbox 360,2010.0,Misc,Konami Digital Entertainment,0.15,0.02,0.02,0.01,0.19,6.4
50 Cent: Blood on the Sand,PlayStation 3,2009.0,Shooter,THQ,0.1,0.06,0.01,0.03,0.19,6.9
Need for Speed: The Run,3DS,2011.0,Action,Electronic Arts,0.09,0.09,0.0,0.02,0.19,6.7
Major League Baseball 2K12,PlayStation 3,2012.0,Sports,Take-Two Interactive,0.18,0.0,0.0,0.01,0.19,4.4
Might & Magic: Clash of Heroes,DS,2009.0,Role-Playing,Ubisoft,0.16,0.02,0.0,0.01,0.19,7.6
Legacy of Kain: Defiance,Xbox,2003.0,Action,Eidos Interactive,0.14,0.04,0.0,0.01,0.19,7.9
Majin and the Forsaken Kingdom,Xbox 360,2010.0,Adventure,Namco Bandai Games,0.14,0.03,0.0,0.01,0.19,7.9
Spider-Man: Shattered Dimensions,DS,2010.0,Action,Activision,0.17,0.01,0.0,0.01,0.19,7.9
Plants vs. Zombies,PlayStation 3,2011.0,Strategy,PopCap Games,0.18,0.0,0.0,0.01,0.19,8.1
NBA Live 14,Xbox One,2013.0,Sports,Electronic Arts,0.16,0.02,0.0,0.01,0.19,3.1
Silent Scope 2: Dark Silhouette,PlayStation 2,2001.0,Shooter,Konami Digital Entertainment,0.09,0.07,0.0,0.02,0.19,tbd
Dave Mirra Freestyle BMX 2,Game Boy Advance,2001.0,Sports,Acclaim Entertainment,0.14,0.05,0.0,0.0,0.19,8.0
NHL Hitz Pro,PlayStation 2,2003.0,Sports,Midway Games,0.09,0.07,0.0,0.02,0.19,8.4
Tom Clancy's Splinter Cell: Blacklist,PC,2013.0,Action,Ubisoft,0.04,0.13,0.0,0.03,0.19,7.5
Binary Domain,Xbox 360,2012.0,Action,Sega,0.09,0.07,0.02,0.02,0.19,8.1
Armored Core: For Answer,PlayStation 3,2008.0,Simulation,Ubisoft,0.06,0.02,0.1,0.01,0.19,7.9
Naruto: Ninja Destiny,DS,2006.0,Fighting,Namco Bandai Games,0.02,0.01,0.16,0.0,0.19,4.7
SNK Arcade Classics Vol. 1,PlayStation 2,2008.0,Misc,Ignition Entertainment,0.09,0.07,0.0,0.02,0.19,tbd
Frequency,PlayStation 2,2001.0,Misc,Sony Computer Entertainment,0.09,0.07,0.0,0.02,0.19,8.6
Death Jr.,PSP,2005.0,Platform,Konami Digital Entertainment,0.17,0.0,0.0,0.01,0.19,7.1
The Polar Express,Game Boy Advance,2004.0,Adventure,THQ,0.14,0.05,0.0,0.0,0.19,4.7
2002 FIFA World Cup,Xbox,2002.0,Sports,Electronic Arts,0.14,0.04,0.0,0.01,0.19,7.5
Sudeki,Xbox,2004.0,Role-Playing,Microsoft Game Studios,0.14,0.04,0.0,0.01,0.19,8.3
Hyperdevotion Noire: Goddess Black Heart,PlayStation Vita,2014.0,Role-Playing,Idea Factory,0.08,0.02,0.06,0.03,0.19,7.2
Quake,Nintendo 64,1998.0,Shooter,GT Interactive,0.15,0.04,0.0,0.0,0.19,7.0
Squeeballs Party,Wii,2009.0,Puzzle,Performance Designed Products,0.18,0.0,0.0,0.01,0.19,7.8
Saints Row IV,PC,2013.0,Action,Deep Silver,0.11,0.06,0.0,0.02,0.19,7.4
Fighter Within,Xbox One,2013.0,Fighting,Ubisoft,0.11,0.07,0.0,0.02,0.19,2.8
SSX Tricky,Game Boy Advance,2002.0,Sports,Electronic Arts,0.14,0.05,0.0,0.0,0.19,tbd
Shadows of the Damned,Xbox 360,2011.0,Action,Electronic Arts,0.1,0.06,0.01,0.02,0.19,8.2
ESPN International Track & Field,PlayStation 2,2000.0,Sports,Konami Digital Entertainment,0.09,0.07,0.0,0.02,0.19,7.3
Lunar Legend,Game Boy Advance,2002.0,Role-Playing,Media Rings,0.14,0.05,0.0,0.0,0.19,7.8
Conflict: Global Terror,PlayStation 2,2005.0,Shooter,Eidos Interactive,0.09,0.07,0.0,0.02,0.19,8.6
Tamagotchi Party On!,Wii,2006.0,Misc,Namco Bandai Games,0.12,0.0,0.06,0.01,0.19,4.0
Shaun White Skateboarding,PlayStation 3,2010.0,Sports,Ubisoft,0.11,0.05,0.0,0.03,0.19,6.5
Hulk,GameCube,2003.0,Action,Universal Interactive,0.15,0.04,0.0,0.01,0.19,7.0
Gungrave,PlayStation 2,2002.0,Shooter,Activision,0.09,0.07,0.0,0.02,0.19,8.6
Phantasy Star Universe,PlayStation 2,2006.0,Role-Playing,Sega,0.0,0.0,0.19,0.0,0.19,8.0
Tenchu: Fatal Shadows,PlayStation 2,2004.0,Action,Sega,0.09,0.07,0.0,0.02,0.19,7.9
The Legend of Spyro: A New Beginning,GameCube,2006.0,Platform,Vivendi Games,0.15,0.04,0.0,0.01,0.19,6.9
Harry Potter and the Prisoner of Azkaban,Xbox,2004.0,Action,Electronic Arts,0.14,0.04,0.0,0.01,0.19,8.0
Arcania: Gothic 4,PC,2010.0,Role-Playing,JoWood Productions,0.09,0.08,0.0,0.02,0.19,4.0
Mushroom Men: The Spore Wars,Wii,2008.0,Action,SouthPeak Games,0.17,0.01,0.0,0.01,0.19,8.8
Zumba Fitness Rush,Xbox 360,2012.0,Sports,505 Games,0.0,0.16,0.0,0.02,0.19,6.2
Rise of the Kasai,PlayStation 2,2005.0,Action,Sony Computer Entertainment,0.09,0.07,0.0,0.02,0.19,6.7
F1 2011,PC,2011.0,Racing,Codemasters,0.0,0.15,0.0,0.04,0.19,7.2
The Munchables,Wii,2009.0,Action,Namco Bandai Games,0.17,0.0,0.0,0.01,0.19,8.4
Chibi-Robo! Park Patrol,DS,2007.0,Adventure,Unknown,0.0,0.0,0.19,0.0,0.19,7.7
Bolt,PlayStation 3,2008.0,Adventure,Disney Interactive Studios,0.12,0.05,0.0,0.02,0.19,5.9
One Piece: Unlimited Adventure,Wii,2007.0,Adventure,Namco Bandai Games,0.07,0.0,0.11,0.01,0.19,8.5
Earth Defense Force: Insect Armageddon,Xbox 360,2011.0,Shooter,D3Publisher,0.1,0.05,0.03,0.01,0.19,8.0
Star Trek: Legacy,Xbox 360,,Simulation,Ubisoft,0.14,0.03,0.0,0.02,0.19,5.7
Disney's Meet the Robinsons,Wii,2007.0,Action,Disney Interactive Studios,0.17,0.0,0.0,0.01,0.19,6.3
Call of Duty: World at War,PC,2008.0,Shooter,Activision,0.02,0.13,0.0,0.03,0.19,7.6
Grand Slam Tennis 2,Xbox 360,2012.0,Sports,Electronic Arts,0.1,0.07,0.0,0.02,0.19,5.3
The Scorpion King: Sword of Osiris,Game Boy Advance,2002.0,Action,Vivendi Games,0.13,0.05,0.0,0.0,0.19,tbd
Robin Hood: Defender of the Crown,PlayStation 2,2003.0,Strategy,Capcom,0.09,0.07,0.0,0.02,0.19,5.6
R-Type Final,PlayStation 2,2003.0,Shooter,Metro 3D,0.09,0.07,0.0,0.02,0.19,8.5
Sega GT 2002,Xbox,2002.0,Racing,Sega,0.12,0.03,0.03,0.01,0.19,7.9
Ty the Tasmanian Tiger 3: Night of the Quinkan,PlayStation 2,2005.0,Action,Activision,0.09,0.07,0.0,0.02,0.19,7.5
WWE SmackDown vs. Raw 2009,DS,2008.0,Fighting,THQ,0.15,0.02,0.0,0.01,0.19,8.1
Blood Omen 2,Xbox,2002.0,Action,Eidos Interactive,0.14,0.04,0.0,0.01,0.19,7.8
Harry Potter: Quidditch World Cup,Xbox,2003.0,Sports,Electronic Arts,0.14,0.04,0.0,0.01,0.19,6.8
La Pucelle: Tactics,PlayStation 2,2002.0,Role-Playing,Tecmo Koei,0.09,0.07,0.0,0.02,0.19,8.7
SBK X: Superbike World Championship,Xbox 360,2010.0,Racing,Black Bean Games,0.1,0.07,0.0,0.02,0.19,8.3
Samurai Warriors: State of War,PSP,2005.0,Action,Tecmo Koei,0.07,0.0,0.11,0.01,0.19,6.4
Tiger Woods PGA Tour 07,Xbox,2006.0,Sports,Electronic Arts,0.13,0.05,0.0,0.01,0.19,6.8
Call of Juarez,Xbox 360,2007.0,Shooter,Ubisoft,0.14,0.02,0.0,0.01,0.19,6.9
EverQuest Online Adventures: Frontiers,PlayStation 2,2003.0,Role-Playing,Sony Online Entertainment,0.09,0.07,0.0,0.02,0.19,8.1
Phantasy Star Online Ver. 2,Dreamcast,2001.0,Role-Playing,Sega,0.0,0.0,0.19,0.0,0.19,8.6
EyePet & Friends,PlayStation 3,2011.0,Simulation,Sony Computer Entertainment,0.06,0.09,0.0,0.03,0.19,4.7
The Lord of the Rings: War in the North,PC,2011.0,Action,Warner Bros. Interactive Entertainment,0.04,0.11,0.0,0.03,0.18,7.2
Major League Baseball 2K10,PlayStation 3,2010.0,Sports,Take-Two Interactive,0.17,0.0,0.0,0.01,0.18,5.3
Fight Club,PlayStation 2,2004.0,Fighting,Vivendi Games,0.09,0.07,0.0,0.02,0.18,4.4
Syndicate,Xbox 360,2012.0,Shooter,Electronic Arts,0.1,0.06,0.0,0.02,0.18,7.3
Pure Futbol,Xbox 360,2010.0,Sports,Ubisoft,0.08,0.09,0.0,0.02,0.18,7.4
Close Combat: First to Fight,Xbox,2005.0,Shooter,Take-Two Interactive,0.14,0.04,0.0,0.01,0.18,6.5
MotoGP 14,PlayStation 4,2014.0,Racing,Milestone S.r.l.,0.04,0.11,0.0,0.04,0.18,6.3
Indiana Jones and the Emperor's Tomb,Xbox,2003.0,Action,LucasArts,0.14,0.04,0.0,0.01,0.18,8.4
Buffy the Vampire Slayer: Chaos Bleeds,PlayStation 2,2003.0,Action,Vivendi Games,0.09,0.07,0.0,0.02,0.18,8.8
Half-Minute Hero,PSP,2009.0,Role-Playing,Rising Star Games,0.08,0.02,0.07,0.02,0.18,7.9
Ty the Tasmanian Tiger,Xbox,2002.0,Platform,Electronic Arts,0.14,0.04,0.0,0.01,0.18,8.8
Siren,PlayStation 2,2003.0,Adventure,Sony Computer Entertainment,0.09,0.07,0.0,0.02,0.18,7.9
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",DS,2005.0,Action,Disney Interactive Studios,0.15,0.02,0.0,0.01,0.18,8.0
Naruto Shippuden: Dragon Blade Chronicles,Wii,2009.0,Action,505 Games,0.11,0.02,0.05,0.01,0.18,3.1
Evolve,PC,2015.0,Shooter,Take-Two Interactive,0.07,0.1,0.0,0.01,0.18,4.3
de Blob 2,Wii,2011.0,Platform,THQ,0.11,0.06,0.0,0.02,0.18,8.0
Lips: Party Classics,Xbox 360,2010.0,Misc,Microsoft Game Studios,0.05,0.11,0.0,0.02,0.18,tbd
Borderlands,PC,2009.0,Shooter,Take-Two Interactive,0.01,0.14,0.0,0.04,0.18,7.6
Amplitude,PlayStation 2,2003.0,Misc,Sony Computer Entertainment,0.09,0.07,0.0,0.02,0.18,8.6
Gauntlet: Seven Sorrows,Xbox,2005.0,Role-Playing,Midway Games,0.14,0.04,0.0,0.01,0.18,8.2
AirForce Delta Storm,Xbox,2001.0,Shooter,Konami Digital Entertainment,0.14,0.04,0.0,0.01,0.18,7.0
Trauma Team,Wii,,Simulation,Unknown,0.15,0.0,0.02,0.01,0.18,8.2
Fear Effect 2: Retro Helix,PlayStation,2001.0,Action,Eidos Interactive,0.1,0.07,0.0,0.01,0.18,7.2
Remember Me,Xbox 360,2013.0,Action,Capcom,0.1,0.07,0.0,0.02,0.18,7.6
Atari Anniversary Advance,Game Boy Advance,2002.0,Misc,Atari,0.13,0.05,0.0,0.0,0.18,tbd
Summer Athletics: The Ultimate Challenge,PlayStation 2,2008.0,Sports,DTP Entertainment,0.0,0.0,0.0,0.18,0.18,7.8
Driver: San Francisco,PC,2011.0,Racing,Ubisoft,0.05,0.1,0.0,0.03,0.18,7.2
Let's TAP,Wii,2008.0,Misc,Sega,0.09,0.06,0.01,0.02,0.18,6.8
